Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Broccoli, raw",100,g,

Nutrient,Amount,Unit,DV
Calories,34,,
"Vitamin A, RAE",31.00,mcg,3 %
"Carotene, alpha",25.00,mcg,
"Carotene, beta",361.00,mcg,
"Cryptoxanthin, beta",1.00,mcg,
"Lutein + zeaxanthin",1403.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.071,mg,6 %
"Riboflavin [Vitamin B2]",0.117,mg,9 %
"Niacin [Vitamin B3]",0.639,mg,4 %
"Pantothenic acid [Vitamin B5]",0.573,mg,11 %
"Vitamin B6",0.175,mg,10 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",63.00,mcg,16 %
"Folate, food",63.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",89.2,mg,99 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.78,mg,5 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.78,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0.00,mg,
"Tocopherol, gamma",0.17,mg,
"Tocotrienol, alpha",0.04,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",101.6,mcg,85 %
"Vitamin K1 [Phylloquinone]",101.6,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Betaine",0.1,mg,
"Choline",18.7,mg,3 %
"Calcium, Ca",47.00,mg,4 %
"Copper, Cu",0.05,mg,6 %
"Iron, Fe",0.73,mg,4 %
"Magnesium, Mg",21.00,mg,5 %
"Manganese, Mn",0.210,mg,9 %
"Phosphorus, P",66.00,mg,5 %
"Potassium, K",316.00,mg,7 %
"Selenium, Se",2.50,mcg,5 %
"Sodium, Na",33.00,mg,1 %
"Zinc, Zn",0.41,mg,4 %
"Protein",2.82,g,6 %
"Alanine",0.104,g,
"Arginine",0.191,g,
"Aspartic acid",0.325,g,
"Cystine",0.028,g,
"Glutamic acid",0.542,g,
"Glycine",0.089,g,
"Histidine",0.059,g,5 %
"Isoleucine",0.079,g,5 %
"Leucine",0.129,g,4 %
"Lysine",0.135,g,4 %
"Methionine",0.038,g,
"Phenylalanine",0.117,g,
"Proline",0.110,g,
"Serine",0.121,g,
"Threonine",0.088,g,5 %
"Tryptophan",0.033,g,8 %
"Tyrosine",0.050,g,
"Valine",0.125,g,6 %
"Phenylalanine + Tyrosine",0.167,g,6 %
"Methionine + Cysteine",0.038,g,2 %
"Carbohydrate",6.64,g,2 %
"Fiber",2.60,g,9 %
"Starch",0.00,g,
"Sugars",1.70,g,
"Fructose",0.68,g,
"Galactose",0.00,g,
"Glucose",0.49,g,
"Lactose",0.21,g,
"Maltose",0.21,g,
"Sucrose",0.10,g,
"Net carbs",4.04,g,
"Fat",0.370,g,0 %
"Saturated fatty acids",0.114,g,1 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Docosanoic acid",0.004,g,
"Dodecanoic acid",0.000,g,
"Eicosanoic acid",0.006,g,
"Heptadecanoic acid",0.000,g,
"Hexadecanoic acid",0.084,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.018,g,
"Octanoic acid",0.000,g,
"Pentadecanoic acid",0.000,g,
"Tetradecanoic acid",0.002,g,
"Monounsaturated fatty acids",0.031,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Heptadecenoic acid",0.002,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",0.029,g,
"Pentadecenoic acid",0.000,g,
"Tetradecenoic acid",0.000,g,
"Polyunsaturated fatty acids",0.112,g,
"γ-linolenic acid n-6 (GLA)",0.00,g,
"Cis,cis-eicosadienoic n-6 acid",0.000,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosadienoic acid",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.049,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.063,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",0.87,g,
"Caffeine",0.00,mg,
"Theobromine",0.00,mg,
"Water",89.30,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
