Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Chicken, raw, ground",100,g,

Nutrient,Amount,Unit,DV
Calories,143,,
"Vitamin A, RAE",0.00,mcg,0 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",0.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",0.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.109,mg,9 %
"Riboflavin [Vitamin B2]",0.241,mg,19 %
"Niacin [Vitamin B3]",5.575,mg,35 %
"Pantothenic acid [Vitamin B5]",1.092,mg,22 %
"Vitamin B6",0.512,mg,30 %
"Vitamin B12 [Cobalamin]",0.56,mcg,23 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",1.00,mcg,0 %
"Folate, food",1.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin E (alpha-tocopherol)",0.27,mg,2 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.27,mg,
"Tocopherol, beta",0.00,mg,
"Tocopherol, delta",0.03,mg,
"Tocopherol, gamma",0.17,mg,
"Tocotrienol, alpha",0.05,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",0.8,mcg,1 %
"Vitamin K1 [Phylloquinone]",0.8,mcg,
"Betaine",7.7,mg,
"Choline",58.8,mg,11 %
"Calcium, Ca",6.00,mg,0 %
"Copper, Cu",0.07,mg,8 %
"Iron, Fe",0.82,mg,5 %
"Magnesium, Mg",21.00,mg,5 %
"Manganese, Mn",0.016,mg,1 %
"Phosphorus, P",178.00,mg,14 %
"Potassium, K",522.00,mg,11 %
"Selenium, Se",10.20,mcg,19 %
"Sodium, Na",60.00,mg,3 %
"Zinc, Zn",1.47,mg,13 %
"Protein",17.44,g,35 %
"Alanine",0.991,g,
"Arginine",1.128,g,
"Aspartic acid",1.616,g,
"Cystine",0.188,g,
"Glutamic acid",2.611,g,
"Glycine",0.838,g,
"Histidine",0.529,g,46 %
"Hydroxyproline",0.094,g,
"Isoleucine",0.794,g,51 %
"Leucine",1.361,g,40 %
"Lysine",1.509,g,49 %
"Methionine",0.446,g,
"Phenylalanine",0.683,g,
"Proline",0.658,g,
"Serine",0.731,g,
"Threonine",0.727,g,45 %
"Tryptophan",0.147,g,36 %
"Tyrosine",0.604,g,
"Valine",0.826,g,42 %
"Phenylalanine + Tyrosine",1.287,g,48 %
"Methionine + Cysteine",0.446,g,29 %
"Carbohydrate",0.04,g,0 %
"Fiber",0.00,g,0 %
"Sugars",0.00,g,
"Net carbs",0.04,g,
"0.10 g",1.32 g,undefined,13.34
"Fat",8.100,g,10 %
"Saturated fatty acids",2.301,g,12 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Docosanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Eicosanoic acid",0.005,g,
"Heptadecanoic acid",0.007,g,
"Hexadecanoic acid",1.791,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.456,g,
"Octanoic acid",0.000,g,
"Pentadecanoic acid",0.000,g,
"Tetradecanoic acid",0.041,g,
"Monounsaturated fatty acids",3.611,g,
"Cis-octadecenoic acid",2.992,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.025,g,
"Heptadecenoic acid",0.000,g,
"Hexadecenoic acid",0.536,g,
"Octadecenoic acid",3.035,g,
"Pentadecenoic acid",0.000,g,
"Tetradecenoic acid",0.016,g,
"Trans-octadecenoic acid",0.042,g,
"Polyunsaturated fatty acids",1.508,g,
"α-linolenic acid n-3 (ALA)",0.06,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0.011,g,
"Linoleic acid n-6 (LA)",1.30,g,
"Docosahexaenoic n-3 acid (DHA)",0.023,g,
"Docosapentaenoic n-3 acid (DPA)",0.008,g,
"Eicosadienoic acid",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.008,g,
"Eicosatetraenoic acid",0.074,g,
"Octadecadienoic acid",1.324,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.071,g,
"Trans,trans-octadecadienoic acid",0.022,g,
"Fatty acids, total trans",0.065,g,
"Fatty acids, total trans-monoenoic",0.042,g,
"Fatty acids, total trans-polyenoic",0.022,g,
"Cholesterol",86.00,mg,29 %
"Alcohol, ethyl",0.0,g,
"Ash",1.17,g,
"Caffeine",0.00,mg,
"Theobromine",0.00,mg,
"Water",73.24,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
