Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Oatmeal, no added fat, multigrain",100,g,

Nutrient,Amount,Unit,DV
Calories,56,,
"Vitamin A, RAE",0.00,mcg,0 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",1.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",27.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.046,mg,4 %
"Riboflavin [Vitamin B2]",0.027,mg,2 %
"Niacin [Vitamin B3]",0.601,mg,4 %
"Vitamin B6",0.042,mg,2 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",3.00,mcg,1 %
"Folate, food",3.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.11,mg,1 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.11,mg,
"Vitamin K",0.6,mcg,0 %
"Vitamin K1 [Phylloquinone]",0.6,mcg,
"Choline",5.0,mg,1 %
"Calcium, Ca",9.00,mg,1 %
"Copper, Cu",0.07,mg,8 %
"Iron, Fe",0.46,mg,3 %
"Magnesium, Mg",20.00,mg,5 %
"Phosphorus, P",55.00,mg,4 %
"Potassium, K",51.00,mg,1 %
"Selenium, Se",5.30,mcg,10 %
"Sodium, Na",70.00,mg,3 %
"Zinc, Zn",0.55,mg,5 %
"Protein",2.12,g,4 %
"Carbohydrate",12.19,g,4 %
"Fiber",2.00,g,7 %
"Sugars",0.41,g,
"Net carbs",10.19,g,
"Fat",0.460,g,1 %
"Saturated fatty acids",0.076,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.001,g,
"Hexadecanoic acid",0.067,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.004,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.001,g,
"Monounsaturated fatty acids",0.101,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.001,g,
"Hexadecenoic acid",0.001,g,
"Octadecenoic acid",0.098,g,
"Polyunsaturated fatty acids",0.190,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.174,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.015,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Caffeine",0.00,mg,
"Theobromine",0.00,mg,
"Water",84.69,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
