Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Rice, raw, medium-grain, brown",100,g,

Nutrient,Amount,Unit,DV
Calories,362,,
"Vitamin A, RAE",0.00,mcg,0 %
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.413,mg,34 %
"Riboflavin [Vitamin B2]",0.043,mg,3 %
"Niacin [Vitamin B3]",4.308,mg,27 %
"Pantothenic acid [Vitamin B5]",1.493,mg,30 %
"Vitamin B6",0.509,mg,30 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",20.00,mcg,5 %
"Folate, food",20.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin D",0.00,mcg,0 %
"Calcium, Ca",33.00,mg,3 %
"Copper, Cu",0.28,mg,31 %
"Iron, Fe",1.80,mg,10 %
"Magnesium, Mg",143.00,mg,34 %
"Manganese, Mn",3.743,mg,163 %
"Phosphorus, P",264.00,mg,21 %
"Potassium, K",268.00,mg,6 %
"Sodium, Na",4.00,mg,0 %
"Zinc, Zn",2.02,mg,18 %
"Protein",7.50,g,15 %
"Alanine",0.437,g,
"Arginine",0.569,g,
"Aspartic acid",0.702,g,
"Cystine",0.091,g,
"Glutamic acid",1.528,g,
"Glycine",0.369,g,
"Histidine",0.190,g,17 %
"Isoleucine",0.318,g,20 %
"Leucine",0.620,g,18 %
"Lysine",0.286,g,9 %
"Methionine",0.169,g,
"Phenylalanine",0.387,g,
"Proline",0.352,g,
"Serine",0.388,g,
"Threonine",0.275,g,17 %
"Tryptophan",0.096,g,24 %
"Tyrosine",0.281,g,
"Valine",0.440,g,22 %
"Phenylalanine + Tyrosine",0.668,g,25 %
"Methionine + Cysteine",0.169,g,11 %
"Carbohydrate",76.17,g,28 %
"Fiber",3.40,g,12 %
"Net carbs",72.77,g,
"Fat",2.680,g,3 %
"Saturated fatty acids",0.536,g,3 %
"Dodecanoic acid",0.002,g,
"Hexadecanoic acid",0.457,g,
"Octadecanoic acid",0.048,g,
"Tetradecanoic acid",0.010,g,
"Monounsaturated fatty acids",0.971,g,
"Hexadecenoic acid",0.010,g,
"Octadecenoic acid",0.961,g,
"Polyunsaturated fatty acids",0.959,g,
"Octadecadienoic acid",0.918,g,
"Octadecatrienoic acid",0.041,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",1.27,g,
"Water",12.37,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
